child,cohort,gender,age,unoccupied,solitary,onlooker,parallel,associative,cooperative,soc_particip,bossy,pos_affect,awkward,predom,prop_unocc,prop_solitary,prop_onlooker,prop_parallel,prop_assoc,prop_coop
45,0,male,3,0,0,0,6,24,0,5,NA,NA,NA,associative,0,0,0,0.2,0.8,0
46,0,male,3,0,0,0,0,30,0,5,NA,NA,NA,associative,0,0,0,0,1,0
47,0,female,4,5,11,0,14,0,0,4,NA,NA,NA,parallel,0.16666666666666666,0.36666666666666664,0,0.4666666666666667,0,0
48,0,male,4,0,1,3,0,0,26,5,NA,NA,NA,cooperative,0,0.03333333333333333,0.1,0,0,0.8666666666666667
49,0,female,4,3,16,2,8,1,0,4,NA,NA,NA,solitary,0.1,0.5333333333333333,0.06666666666666667,0.26666666666666666,0.03333333333333333,0
50,0,male,4,1,16,2,5,1,5,3,NA,NA,NA,solitary,0.03333333333333333,0.5333333333333333,0.06666666666666667,0.16666666666666666,0.03333333333333333,0.16666666666666666
51,0,male,4,4,12,5,6,3,0,3,NA,NA,NA,solitary,0.13333333333333333,0.4,0.16666666666666666,0.2,0.1,0
52,0,female,4,3,20,2,2,3,0,3,NA,NA,NA,solitary,0.1,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.1,0
53,0,male,4,0,1,0,17,5,7,5,NA,NA,NA,parallel,0,0.03333333333333333,0,0.5666666666666667,0.16666666666666666,0.23333333333333334
54,0,male,4,9,13,2,0,6,0,5,NA,NA,NA,solitary,0.3,0.43333333333333335,0.06666666666666667,0,0.2,0
55,0,male,4,0,5,3,0,8,14,5,NA,NA,NA,cooperative,0,0.16666666666666666,0.1,0,0.26666666666666666,0.4666666666666667
56,0,male,4,0,4,5,1,16,4,4,NA,NA,NA,associative,0,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.5333333333333333,0.13333333333333333
57,0,male,4,0,5,0,0,16,9,5,NA,NA,NA,associative,0,0.16666666666666666,0,0,0.5333333333333333,0.3
58,0,female,4,6,1,0,6,17,0,4,NA,NA,NA,associative,0.2,0.03333333333333333,0,0.2,0.5666666666666667,0
59,0,male,4,0,7,0,6,17,0,5,NA,NA,NA,associative,0,0.23333333333333334,0,0.2,0.5666666666666667,0
60,0,male,4,0,6,0,5,17,2,4,NA,NA,NA,associative,0,0.2,0,0.16666666666666666,0.5666666666666667,0.06666666666666667
61,0,male,4,0,3,0,9,18,0,5,NA,NA,NA,associative,0,0.1,0,0.3,0.6,0
62,0,male,4,0,0,0,4,25,1,4,NA,NA,NA,associative,0,0,0,0.13333333333333333,0.8333333333333334,0.03333333333333333
63,0,male,5,6,15,4,5,0,0,3,NA,NA,NA,solitary,0.2,0.5,0.13333333333333333,0.16666666666666666,0,0
64,0,male,5,0,21,0,1,6,2,3,NA,NA,NA,solitary,0,0.7,0,0.03333333333333333,0.2,0.06666666666666667
65,0,female,5,1,6,8,4,11,0,3,NA,NA,NA,associative,0.03333333333333333,0.2,0.26666666666666666,0.13333333333333333,0.36666666666666664,0
66,0,female,5,1,4,1,3,17,4,4,NA,NA,NA,associative,0.03333333333333333,0.13333333333333333,0.03333333333333333,0.1,0.5666666666666667,0.13333333333333333
67,0,female,3,8,12,10,0,0,0,3,NA,NA,NA,solitary,0.26666666666666666,0.4,0.3333333333333333,0,0,0
68,0,male,3,0,8,18,4,0,0,3,NA,NA,NA,onlooker,0,0.26666666666666666,0.6,0.13333333333333333,0,0
69,0,female,3,5,8,15,0,2,0,4,NA,NA,NA,onlooker,0.16666666666666666,0.26666666666666666,0.5,0,0.06666666666666667,0
70,0,female,3,0,11,0,12,5,2,5,NA,NA,NA,parallel,0,0.36666666666666664,0,0.4,0.16666666666666666,0.06666666666666667
71,0,female,3,1,14,1,6,5,3,4,NA,NA,NA,solitary,0.03333333333333333,0.4666666666666667,0.03333333333333333,0.2,0.16666666666666666,0.1
72,0,male,3,0,9,3,8,10,0,5,NA,NA,NA,associative,0,0.3,0.1,0.26666666666666666,0.3333333333333333,0
73,0,male,4,0,16,0,14,0,0,4,NA,NA,NA,solitary,0,0.5333333333333333,0,0.4666666666666667,0,0
74,0,female,4,0,21,1,1,0,7,3,NA,NA,NA,solitary,0,0.7,0.03333333333333333,0.03333333333333333,0,0.23333333333333334
75,0,female,4,0,10,2,11,0,7,4,NA,NA,NA,parallel,0,0.3333333333333333,0.06666666666666667,0.36666666666666664,0,0.23333333333333334
76,0,female,4,6,4,2,10,1,7,4,NA,NA,NA,parallel,0.2,0.13333333333333333,0.06666666666666667,0.3333333333333333,0.03333333333333333,0.23333333333333334
77,0,male,4,0,19,0,7,2,2,4,NA,NA,NA,solitary,0,0.6333333333333333,0,0.23333333333333334,0.06666666666666667,0.06666666666666667
