child,cohort,gender,age,unoccupied,solitary,onlooker,parallel,associative,cooperative,soc_particip,bossy,pos_affect,awkward,predom,prop_unocc,prop_solitary,prop_onlooker,prop_parallel,prop_assoc,prop_coop
198,5,male,3,3,4,3,2,3,15,5,2,3,1,cooperative,0.1,0.13333333333333333,0.1,0.06666666666666667,0.1,0.5
199,5,female,3,15,12,1,0,2,0,4,1,2,2,unoccupied,0.5,0.4,0.03333333333333333,0,0.06666666666666667,0
200,5,female,4,1,1,0,0,0,28,5,2,4,1,cooperative,0.03333333333333333,0.03333333333333333,0,0,0,0.9333333333333333
201,5,female,4,0,2,1,11,15,1,2,1,2,2,associative,0,0.06666666666666667,0.03333333333333333,0.36666666666666664,0.5,0.03333333333333333
202,5,female,4,0,0,2,23,5,0,3,1,2,2,parallel,0,0,0.06666666666666667,0.7666666666666667,0.16666666666666666,0
203,5,male,4,0,0,0,0,0,30,4,1,3,2,cooperative,0,0,0,0,0,1
204,5,female,4,0,3,3,8,11,4,4,2,4,1,associative,0,0.1,0.1,0.26666666666666666,0.36666666666666664,0.13333333333333333
205,5,male,4,4,4,6,3,2,11,4,2,3,1,cooperative,0.13333333333333333,0.13333333333333333,0.2,0.1,0.06666666666666667,0.36666666666666664
206,5,male,5,0,0,0,0,0,30,5,2,3,1,cooperative,0,0,0,0,0,1
207,5,male,3,0,2,1,4,8,15,5,2,3,1,cooperative,0,0.06666666666666667,0.03333333333333333,0.13333333333333333,0.26666666666666666,0.5
208,5,female,3,0,9,0,0,5,16,4,1,2,2,cooperative,0,0.3,0,0,0.16666666666666666,0.5333333333333333
209,5,female,4,7,0,0,0,0,23,5,2,4,1,cooperative,0.23333333333333334,0,0,0,0,0.7666666666666667
210,5,female,4,2,4,2,21,1,0,2,1,2,2,parallel,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.7,0.03333333333333333,0
211,5,female,4,0,0,0,5,25,0,3,1,2,2,associative,0,0,0,0.16666666666666666,0.8333333333333334,0
212,5,male,4,0,0,0,8,10,12,4,1,3,2,cooperative,0,0,0,0.26666666666666666,0.3333333333333333,0.4
213,5,female,4,0,3,11,11,3,2,4,2,4,1,NA,0,0.1,0.36666666666666664,0.36666666666666664,0.1,0.06666666666666667
214,5,male,4,9,9,0,6,3,3,4,2,3,1,NA,0.3,0.3,0,0.2,0.1,0.1
215,5,male,5,0,0,0,0,0,30,5,2,3,1,cooperative,0,0,0,0,0,1
216,6,male,5,0,4,6,5,6,9,4,1,3,1,cooperative,0,0.13333333333333333,0.2,0.16666666666666666,0.2,0.3
217,6,male,5,0,7,3,1,18,1,4,1,3,1,associative,0,0.23333333333333334,0.1,0.03333333333333333,0.6,0.03333333333333333
218,6,female,4,2,2,0,0,0,26,5,1,4,1,cooperative,0.06666666666666667,0.06666666666666667,0,0,0,0.8666666666666667
219,6,female,4,3,2,0,0,0,25,5,1,4,1,cooperative,0.1,0.06666666666666667,0,0,0,0.8333333333333334
220,6,female,3,2,5,5,2,9,8,3,2,2,2,associative,0.06666666666666667,0.16666666666666666,0.16666666666666666,0.06666666666666667,0.3,0.26666666666666666
221,6,female,3,1,4,0,4,7,14,3,2,2,2,cooperative,0.03333333333333333,0.13333333333333333,0,0.13333333333333333,0.23333333333333334,0.4666666666666667
222,6,male,5,0,8,4,4,3,10,5,1,3,1,cooperative,0,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.1,0.3333333333333333
223,6,male,5,3,8,1,4,0,14,5,1,3,1,cooperative,0.1,0.26666666666666666,0.03333333333333333,0.13333333333333333,0,0.4666666666666667
224,6,female,4,5,10,7,8,0,0,4,1,4,1,solitary,0.16666666666666666,0.3333333333333333,0.23333333333333334,0.26666666666666666,0,0
225,6,female,4,0,24,6,0,0,0,4,1,4,1,solitary,0,0.8,0.2,0,0,0
226,6,female,4,1,0,16,0,5,8,3,2,3,2,onlooker,0.03333333333333333,0,0.5333333333333333,0,0.16666666666666666,0.26666666666666666
227,6,female,4,2,12,5,5,5,1,3,2,3,2,solitary,0.06666666666666667,0.4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.03333333333333333
228,6,male,4,9,2,6,1,7,5,3,2,2,2,unoccupied,0.3,0.06666666666666667,0.2,0.03333333333333333,0.23333333333333334,0.16666666666666666
229,6,male,4,4,3,4,0,12,7,3,2,2,2,associative,0.13333333333333333,0.1,0.13333333333333333,0,0.4,0.23333333333333334
230,6,female,3,7,13,5,0,4,1,2,2,1,1,solitary,0.23333333333333334,0.43333333333333335,0.16666666666666666,0,0.13333333333333333,0.03333333333333333
231,6,female,3,4,15,7,4,0,0,2,2,1,1,solitary,0.13333333333333333,0.5,0.23333333333333334,0.13333333333333333,0,0
232,6,female,4,0,8,5,0,0,17,2,1,2,2,cooperative,0,0.26666666666666666,0.16666666666666666,0,0,0.5666666666666667
233,6,female,4,0,9,9,2,2,8,2,1,2,2,NA,0,0.3,0.3,0.06666666666666667,0.06666666666666667,0.26666666666666666
234,7,male,3,11,9,9,2,0,0,2,1,2,2,unoccupied,0.36666666666666664,0.3,0.3,0.06666666666666667,0,0
235,7,female,4,0,19,5,3,3,0,2,2,2,2,solitary,0,0.6333333333333333,0.16666666666666666,0.1,0.1,0
236,7,female,4,0,7,1,7,13,0,3,1,2,2,associative,0,0.23333333333333334,0.03333333333333333,0.23333333333333334,0.43333333333333335,0
237,7,female,5,0,0,0,0,7,23,5,2,4,1,cooperative,0,0,0,0,0.23333333333333334,0.7666666666666667
238,7,male,3,0,14,2,3,5,6,3,1,3,2,solitary,0,0.4666666666666667,0.06666666666666667,0.1,0.16666666666666666,0.2
239,7,female,NA,0,9,7,0,7,7,4,2,3,2,solitary,0,0.3,0.23333333333333334,0,0.23333333333333334,0.23333333333333334
240,7,male,NA,0,1,2,16,7,4,2,1,3,2,parallel,0,0.03333333333333333,0.06666666666666667,0.5333333333333333,0.23333333333333334,0.13333333333333333
241,7,male,4,0,14,3,8,0,5,5,3,4,2,solitary,0,0.4666666666666667,0.1,0.26666666666666666,0,0.16666666666666666
242,7,female,4,0,7,0,7,17,0,4,1,3,1,associative,0,0.23333333333333334,0,0.23333333333333334,0.5666666666666667,0
243,7,male,3,0,13,4,10,1,2,4,2,3,2,solitary,0,0.43333333333333335,0.13333333333333333,0.3333333333333333,0.03333333333333333,0.06666666666666667
244,7,female,3,0,4,5,4,4,1,4,2,2,2,onlooker,0,0.13333333333333333,0.16666666666666666,0.13333333333333333,0.13333333333333333,0.03333333333333333
245,7,female,4,5,13,8,0,4,0,5,2,4,1,solitary,0.16666666666666666,0.43333333333333335,0.26666666666666666,0,0.13333333333333333,0
246,7,female,NA,8,5,3,3,0,11,2,1,2,2,cooperative,0.26666666666666666,0.16666666666666666,0.1,0.1,0,0.36666666666666664
247,7,female,4,2,11,2,1,13,1,4,1,4,1,associative,0.06666666666666667,0.36666666666666664,0.06666666666666667,0.03333333333333333,0.43333333333333335,0.03333333333333333
248,7,male,5,0,1,1,0,7,21,5,1,3,1,cooperative,0,0.03333333333333333,0.03333333333333333,0,0.23333333333333334,0.7
