Cohort,Gender,Age,Unoccupied,Solitary,Onlooker,Parallel,Associative,Cooperative,Predom,socparticip,degpos,bossy,socawk
0,1,4,0,0,0,19,11,0,P,5,#NULL!,#NULL!,#NULL!
0,1,4,0,0,0,12,18,0,A,4,#NULL!,#NULL!,#NULL!
0,1,5,0,1,3,1,1,24,C,5,#NULL!,#NULL!,#NULL!
0,1,5,0,0,18,0,4,8,O,3,#NULL!,#NULL!,#NULL!
0,1,5,2,9,1,4,4,10,C,4,#NULL!,#NULL!,#NULL!
0,1,5,0,0,14,0,11,5,O,4,#NULL!,#NULL!,#NULL!
0,2,3,0,8,11,11,0,0,O,4,#NULL!,#NULL!,#NULL!
0,2,3,0,0,17,13,0,0,O,4,#NULL!,#NULL!,#NULL!
0,1,3,9,0,13,5,0,3,O,3,#NULL!,#NULL!,#NULL!
0,1,3,3,1,20,0,0,6,O,2,#NULL!,#NULL!,#NULL!
0,2,3,1,9,2,0,0,18,C,5,#NULL!,#NULL!,#NULL!
0,2,3,1,0,3,5,0,21,C,5,#NULL!,#NULL!,#NULL!
0,1,3,10,0,9,9,2,0,U,3,#NULL!,#NULL!,#NULL!
0,1,3,0,9,6,8,2,5,S,4,#NULL!,#NULL!,#NULL!
0,1,3,0,0,3,24,3,0,P,4,#NULL!,#NULL!,#NULL!
0,1,3,6,8,5,8,3,0,S,3,#NULL!,#NULL!,#NULL!
0,1,3,0,8,7,9,6,0,P,4,#NULL!,#NULL!,#NULL!
0,1,3,0,20,3,0,6,0,S,3,#NULL!,#NULL!,#NULL!
0,1,3,2,12,5,4,7,0,S,3,#NULL!,#NULL!,#NULL!
0,1,3,0,17,0,5,8,0,S,3,#NULL!,#NULL!,#NULL!
0,2,3,3,14,1,2,10,0,S,4,#NULL!,#NULL!,#NULL!
0,1,3,10,4,0,5,11,0,A,4,#NULL!,#NULL!,#NULL!
0,2,3,1,5,4,6,11,3,A,5,#NULL!,#NULL!,#NULL!
0,1,3,4,3,3,8,12,0,A,5,#NULL!,#NULL!,#NULL!
0,2,3,1,9,1,2,12,5,P,4,#NULL!,#NULL!,#NULL!
0,2,3,0,3,0,3,17,7,A,5,#NULL!,#NULL!,#NULL!
0,1,3,0,9,0,2,18,1,A,5,#NULL!,#NULL!,#NULL!
0,1,3,0,6,0,2,20,2,A,5,#NULL!,#NULL!,#NULL!
0,1,4,0,23,7,0,0,0,S,3,#NULL!,#NULL!,#NULL!
0,1,4,11,10,9,0,0,0,U,4,#NULL!,#NULL!,#NULL!
0,1,4,4,12,5,0,0,9,S,3,#NULL!,#NULL!,#NULL!
0,1,4,3,6,4,0,0,19,C,5,#NULL!,#NULL!,#NULL!
